defect_id,severity,status,created_date,release_id
DEF-1,High,Open,2025-10-01,ORDER_MGMT_REL_2025_Q4
DEF-2,High,Open,2025-10-02,ORDER_MGMT_REL_2025_Q4
DEF-3,High,Open,2025-10-03,ORDER_MGMT_REL_2025_Q4
DEF-4,High,Open,2025-10-04,ORDER_MGMT_REL_2025_Q4
DEF-5,High,Open,2025-10-05,ORDER_MGMT_REL_2025_Q4
DEF-6,High,Open,2025-10-06,ORDER_MGMT_REL_2025_Q4
DEF-7,High,Open,2025-10-07,ORDER_MGMT_REL_2025_Q4
DEF-8,High,Open,2025-10-08,ORDER_MGMT_REL_2025_Q4
DEF-9,High,Open,2025-10-09,ORDER_MGMT_REL_2025_Q4
DEF-10,High,Open,2025-10-10,ORDER_MGMT_REL_2025_Q4
DEF-11,High,Open,2025-10-11,ORDER_MGMT_REL_2025_Q4
DEF-12,High,Open,2025-10-12,ORDER_MGMT_REL_2025_Q4
DEF-13,High,Open,2025-10-13,ORDER_MGMT_REL_2025_Q4
DEF-14,High,Open,2025-10-14,ORDER_MGMT_REL_2025_Q4
DEF-15,High,Open,2025-10-15,ORDER_MGMT_REL_2025_Q4
DEF-16,High,Open,2025-10-16,ORDER_MGMT_REL_2025_Q4
DEF-17,High,Open,2025-10-17,ORDER_MGMT_REL_2025_Q4
DEF-18,High,Open,2025-10-18,ORDER_MGMT_REL_2025_Q4
DEF-19,High,Open,2025-10-19,ORDER_MGMT_REL_2025_Q4
DEF-20,High,Open,2025-10-20,ORDER_MGMT_REL_2025_Q4
DEF-21,High,Open,2025-10-21,ORDER_MGMT_REL_2025_Q4
DEF-22,High,Open,2025-10-22,ORDER_MGMT_REL_2025_Q4
DEF-23,High,Open,2025-10-23,ORDER_MGMT_REL_2025_Q4
DEF-24,High,Open,2025-10-24,ORDER_MGMT_REL_2025_Q4
DEF-25,High,Open,2025-10-25,ORDER_MGMT_REL_2025_Q4
DEF-26,High,Open,2025-10-26,ORDER_MGMT_REL_2025_Q4
DEF-27,High,Open,2025-10-27,ORDER_MGMT_REL_2025_Q4
DEF-28,High,Open,2025-10-28,ORDER_MGMT_REL_2025_Q4
DEF-29,High,Open,2025-10-29,ORDER_MGMT_REL_2025_Q4
DEF-30,High,Open,2025-10-30,ORDER_MGMT_REL_2025_Q4
